ROUTE,SCREEN_NAME,TYPE,REQUIRED_ROLE,OPERATIONS,SAVE_RESULT,RELOAD_RESULT,STATUS,SOURCE,PLATFORM,EVIDENCE
create/appointments,予約（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,"Created related synthetic appointment 2026-09-26T16:00, saved; edited to17:00, invalid leftover suffix safely rejected, corrected date saved and detailed17:00 verified",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
edit/appointments,予約（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,"Created related synthetic appointment 2026-09-26T16:00, saved; edited to17:00, invalid leftover suffix safely rejected, corrected date saved and detailed17:00 verified",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
detail/maintenance,整備・車検（detail）,detail,認証済み店舗メンバー,Native inline customer DOB1990-01-02 + vehicle maker/dates saved together; work3 rows4000; row1 copy/nameEditedCopy/deleteThirdWork save4500; left to list/search347476c6/reopened detail4500; work comma retained.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
create/maintenance,整備・車検（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,Native inline customer DOB1990-01-02 + vehicle maker/dates saved together; work3 rows4000; row1 copy/nameEditedCopy/deleteThirdWork save4500; left to list/search347476c6/reopened detail4500; work comma retained.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
edit/maintenance,整備・車検（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,Native inline customer DOB1990-01-02 + vehicle maker/dates saved together; work3 rows4000; row1 copy/nameEditedCopy/deleteThirdWork save4500; left to list/search347476c6/reopened detail4500; work comma retained.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
detail/tradeIns,下取り（detail）,detail,認証済み店舗メンバー,Created master-maker NativeTrade260926 appraisal30000/trade20000; saved detail; edited trade25000; saved; edit/back/reopen confirmed25000,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
create/tradeIns,下取り（create）,create,保存:viewer以外（API/RLSの店舗・権限検査あり）,Created master-maker NativeTrade260926 appraisal30000/trade20000; saved detail; edited trade25000; saved; edit/back/reopen confirmed25000,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
edit/tradeIns,下取り（edit）,edit,保存:viewer以外（API/RLSの店舗・権限検査あり）,Created master-maker NativeTrade260926 appraisal30000/trade20000; saved detail; edited trade25000; saved; edit/back/reopen confirmed25000,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
photo/vehicle,車両写真（photo）,photo,保存:viewer以外（API/RLSの店舗・権限検査あり）,"Selected same synthetic libraryPNG, saved; left to list, reopened vehicle+photo tab, bluephoto/category visible",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
photo/maintenance_job,整備写真（photo）,photo,保存:viewer以外（API/RLSの店舗・権限検査あり）,Library synthetic PNG upload; returned to detail; left to list/reopened/photo; decoded blue image and category入庫時 verified.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
photo/trade_in_vehicle,下取り写真（photo）,photo,保存:viewer以外（API/RLSの店舗・権限検査あり）,"After parent static native Expo File fix+Reload, same library PNG saved; edit/back fetched record; blue photo and 入庫時 visible",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
quote,見積を作る・コピー,quote,保存:viewer以外（API/RLSの店舗・権限検査あり）,Maintenance3row4500 saved; copied editable draft qty2 saved5000; original reopened4500 unchanged.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
quoteDetail,見積詳細,quoteDetail,認証済み店舗メンバー,Original4500 and copy5000 reopened via maintenance; latest label patch reloaded; net4546+tax454=5000 with qty2/1.5/0.5 and included unit labels. Original native print preview4092+408=4500.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
invoice,請求を作る・コピー,invoice,保存:viewer以外（API/RLSの店舗・権限検査あり）,Quote5000 to invoice draft5000; invoice copy editable qty2.5 saved5500/unpaid5500/paid0; original reopened draft5000/paid0 unchanged.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
invoiceDetail,請求詳細,invoiceDetail,認証済み店舗メンバー,Copied invoice issued then cash500; latest label patch reloaded; reopened net5001+tax499=5500/paid500/unpaid5000. UI-generated PDF copied from known Simulator cache and text/render visually verified identical.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
payment,入金を登録,payment,保存:viewer以外（API/RLSの店舗・権限検査あり）,Opened issued copy5500; synthetic cash500 save; back to maintenance/list and invoice reopen5500/paid500/unpaid5000; payment reopened input5000 then back without second save.,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
sale,成約にする,sale,owner/admin/staff,"SyntheticDeal sale180000 saved, list and reopened detail status成約",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
delivery,納車を完了,delivery,owner/admin/staff,Separate NativeDelivery260926 deal created and sold190000; delivery confirm; vehicle list status納車済み; reopened detail loaded and status納車済み verified,PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
cancel,売約取消,cancel,owner/admin/staff,"Entered SyntheticNativeCancellation,confirmed cancellation, list and reopened detail失注",PASS,PASS,PASS,apps/garage-link-mobile/App.tsx + src/v2,iOS 26.4 Simulator / Expo Go / actual native UI / local API and Supabase,runtime/native-business-results.json
