File,種別,前提schema,前提role,冪等性,Fresh適用,Upgrade適用,Rollback,懸念
"supabase/migrations/20260706000000_signup_onboarding.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260706110000_stripe_billing.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260706120000_company_subscriptions_grants.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260706130000_company_subscriptions_rpc_reads.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260706140000_company_subscriptions_owner.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260706150000_subscription_retention.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260706160000_ll_subscriptions_stripe.sql","obsolete","auth;storage;extensions;public","postgres","部分的","いいえ","いいえ（旧L-LINK専用）","対象外","旧モノレポL-LINK依存関数・表"
"supabase/migrations/20260706170000_ll_friend_info_defaults.sql","obsolete","auth;storage;extensions;public","postgres","部分的","いいえ","いいえ（旧L-LINK専用）","対象外","旧モノレポL-LINK依存関数・表"
"supabase/migrations/20260712000000_vehicle_market_and_listing_status.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260712000100_appointments_and_inquiry_links.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260712000200_accounting_export_settings.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260717000000_store_ui_preferences.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260718000100_vehicle_direct_costs.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260718000200_l_link_inquiry_identity.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260718000300_inquiry_response_management.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260718000400_backfill_l_link_connected_stores.sql","data backfill","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","upgrade既存行のみ、曖昧データ要監査"
"supabase/migrations/20260718000500_tenant_plan_limits_and_billing_security.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260722000100_admin_access_credentials.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260722000200_auth_security_hardening.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260722000300_enforce_administrator_aal2.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260723000100_remove_admin_access_code.sql","contract","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","旧管理アクセス表を廃止"
"supabase/migrations/20260723000200_stripe_webhook_idempotency.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260723000300_admin_email_otp.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260724000100_garage_ui_context.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260724000200_garage_dashboard_payload.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260724000300_garage_analytics_payload.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260725010000_fix_garage_dashboard_maintenance_job_number.sql","repair","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","既存関数列名修復"
"supabase/migrations/20260726000100_membership_admission_lock.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260726000200_role_aware_business_write_lock.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260726000300_vehicle_sale_atomicity.sql","incremental","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","ledger/checksum必須"
"supabase/migrations/20260726000400_fresh_supabase_extension_compatibility.sql","repair","auth;storage;extensions;public","postgres","部分的","はい（manifest）","はい（ledger未適用時）","個別downなし","extensions.digest互換修復"
"supabase/migrations/20260726000450_restore_required_baseline_relations.sql","incremental","auth;storage;extensions;public","postgres","はい","はい（manifest）","はい（ledger未適用時）","security-preserving","baseline正式定義4 relationのupgrade drift修復。欠損列はfail-closed"
"supabase/migrations/20260731000100_commercial_remediation_batch_1.sql","incremental","auth;storage;extensions;public","postgres","はい","はい（manifest）","はい（ledger未適用時）","security-preserving / active stateでのみ可","Stripe状態機械・Webhook/reconciliation・atomic quota。Production適用禁止"
"supabase/migrations/20260731000200_commercial_remediation_batch_1b.sql","incremental","auth;storage;extensions;public","postgres","はい","はい（manifest）","はい（ledger未適用時）","security-preserving / authoritative snapshot未使用時のみ","同期fail-closed・authoritative snapshot・lease/retry・単一entitlement正本。Production適用禁止"
"supabase/rollback/20260726000100_membership_admission_lock.down.sql","rollback","public;supabase_migrations","postgres","はい","いいえ","明示rollback時","当該ファイル","security-preserving機能停止"
"supabase/rollback/20260726000200_role_aware_business_write_lock.down.sql","rollback","public;supabase_migrations","postgres","はい","いいえ","明示rollback時","当該ファイル","security-preserving機能停止"
"supabase/rollback/20260726000300_vehicle_sale_atomicity.down.sql","rollback","public;supabase_migrations","postgres","はい","いいえ","明示rollback時","当該ファイル","security-preserving機能停止"
"supabase/schema/001_initial_core_tables.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/002_auth_onboarding_policies.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/003_vehicle_policies.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/004_customer_policies.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/005_deal_policies.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/006_quotes_tables.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/008_trade_in_and_payments.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/009_company_profile_and_document_settings.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/010_document_issue_management.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/011_line_message_drafts.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/012_line_settings.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/013_line_webhook_events.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/014_line_message_logs.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/015_line_friends.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/016_line_management_pack.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/017_vehicle_operations_tables.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/018_store_members_permissions.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/019_audit_logs.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/020_soft_delete_and_security.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/021_line_draft_enhancements.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/022_tenant_security_foundation.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/023_line_secret_hardening.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/024_line_delivery_safety.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/025_csv_security.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/026_storage_security.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/027_pii_minimization.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/028_legacy_pii_cleanup_plan.sql","archive","public","postgres","対象外","いいえ","いいえ","不要","実行用SQLではない"
"supabase/schema/029_line_plan_billing.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/030_company_billing_requests.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/031_repair_parts.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/032_parts_integration.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/033_maintenance_workflow.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/034_storage_path_hardening.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/035_inspection_reminders.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/036_grant_core_tables.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/037_delivery_candidate_event_types.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","番号重複（manifest順で解決）"
"supabase/schema/037_signup_onboarding.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","番号重複（manifest順で解決）"
"supabase/schema/038_stock_movements_and_invoice_sale.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/039_customer_deal_followup_fields.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/040_followup_candidate_generation.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/041_inventory_profit_turnover.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/042_line_link_inbound_nonces.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/043_line_link_s2s_service_role_grants.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/044_vehicle_market_and_listing_status.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/045_appointments_and_inquiry_links.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/046_store_ui_preferences.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/schema/047_vehicle_direct_costs.sql","baseline","auth;storage;extensions","postgres","bundle単位","はい（manifest順）","いいえ","baseline全体を破棄","snapshot順序依存"
"supabase/tests/g0b_catalog_assertions.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/tests/g0b_catalog_fingerprint.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/tests/g0b_extension_compatibility_regression.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/tests/g0b_upgrade_assertions.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/tests/g0b_upgrade_fixture.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/tests/g1a_fixture.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/tests/g1a_inconsistency_report.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/tests/g1b_role_regression.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/tests/g3_fixture.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/tests/g3_sale_regression.sql","test fixture","auth;public;extensions","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","不要（使い捨て）","fixture marker必須"
"supabase/qa/migrations/20260803000100_ux_acceptance_admin_bootstrap.sql","staging QA lane","auth;public","postgres","いいえ","QA manifestのみ","QA runner identity一致時のみ","専用down","Preview限定・service_role限定のUX acceptance fixture bootstrap。Production migration chainから除外"
"supabase/qa/rollback/20260803000100_ux_acceptance_admin_bootstrap.down.sql","staging QA rollback","public","postgres","いいえ","QA manifestのみ","明示QA rollback時","当該ファイル","UX acceptance fixture bootstrap関数のみ削除"
"supabase/qa/migrations/20260804033831_qa_lifecycle_framework.sql","staging QA lane","auth;storage;extensions;public;qa_internal","postgres","いいえ","QA manifestのみ","QA runner identity一致時のみ","専用down","Production migration chainから除外。staging identityとchecksumをQA runnerがfail-closed検証"
"supabase/qa/migrations/20260804041844_qa_lifecycle_canary_provision.sql","staging QA lane","auth;public;qa_internal","postgres","いいえ","QA manifestのみ","QA runner identity一致時のみ","専用down","registry登録済みcanary限定・rollbackは7-function readinessを復元"
"supabase/qa/migrations/20260804042546_qa_lifecycle_preview_auth.sql","staging QA lane","auth;public;qa_internal","postgres","いいえ","QA manifestのみ","QA runner identity一致時のみ","専用down","preview＋registry登録済みcanary限定のOTP bootstrap"
"supabase/qa/migrations/20260804043651_qa_lifecycle_adopt_fixture.sql","staging QA lane","auth;public;qa_internal","postgres","いいえ","QA manifestのみ","QA runner identity一致時のみ","専用down","exact ID/name/store/membership/Auth検証後のみregistry登録"
"supabase/qa/rollback/20260804033831_qa_lifecycle_framework.down.sql","staging QA rollback","public;qa_internal","postgres","いいえ","QA manifestのみ","明示QA rollback時","当該ファイル","通常last-owner guardを復元"
"supabase/qa/rollback/20260804041844_qa_lifecycle_canary_provision.down.sql","staging QA rollback","public","postgres","いいえ","QA manifestのみ","明示QA rollback時","当該ファイル","canary provision RPCと7-function readinessを復元"
"supabase/qa/rollback/20260804042546_qa_lifecycle_preview_auth.down.sql","staging QA rollback","public","postgres","いいえ","QA manifestのみ","明示QA rollback時","既存release preview bootstrap契約を復元"
"supabase/qa/rollback/20260804043651_qa_lifecycle_adopt_fixture.down.sql","staging QA rollback","public","postgres","いいえ","QA manifestのみ","明示QA rollback時","adopt fixture RPCのみ削除"
"supabase/tests/qa_lifecycle_regression.sql","test fixture","auth;public;qa_internal","postgres/supabase_admin","テスト別","検証時のみ","検証時のみ","transaction rollback","fixture marker必須"
